Reference sentence PolyAI,XLSR Wav2Vec2 Dutch,Whisper by OpeanAI,Whisper by OpeanAI_Levenshtein,XLSR Wav2Vec2 Dutch_Levenshtein
hallo ik open de net app en ik zag dat die niet laden ligt dat aan mijn internet of moet ik mijn wachtwoord ergens invullen ligt het aan mij of zijn er technische problemen bij de bank kunnen jullie mij daarbij helpen,holo ike opene netten ep en ik ga zagdat die niet laden en ligt dat aan mijn internet of en moet ik mijn wachtwoord ergs invullen 'zet ligt het aar mij of zijn nieuwen technische problemen bij de bank en kunt u daar mij bij helpen,hallo ik open de net app en ik zag dat die niet laden ligt dat aan mijn internet of moet ik mijn wachtwoord ergens invullen ligt het aan mij of zijn er technische problemen bij de bank kunnen jullie mij daarbij helpen,hallo ik open de net app en ik zag dat die niet laden ligt dat aan mijn internet of moet ik mijn wachtwoord ergens invullen ligt het aan mij of zijn er technische problemen bij de bank kunnen jullie mij daarbij helpen,h(o)l_o ik<e> ope<e>(n) (t)(t) (n)e(e) _pp en i< ><a><g>_ zag dat die niet l< ><n><e>aden ligt dat aan mijn inte< ><n><e>rnet of moet ik mijn wac__woord ergen< ><t><e><z><'>s invu(r)len ligt het <i>(n)<w><u><n>aan mij of zijn er technische p< ><n><e>(t)( )(u)l(d)(a)(a)(r)__ij de____k kunnen jullie mij daarbij helpen
hoi ik maak gebruik van jullie app en die lijkt niet helemaal goed te werken ik kan mijn salon niet zien,en woei erk maak gebruik van julie  p en die lijkt niet hem goed te werken er ik kan mij sallo niet zien,hoi ik maak gebruik van jullie app en die lijkt niet helemaal goed te werken ik kan mijn salon niet zien,hoi ik maak gebruik van jullie app en die lijkt niet helemaal goed te werken ik kan mijn salon niet zien,(w)<n><e><e>(r)hoi ik maak gebruik va_ ju( )l_e app en die lijkt ni__ ___emaal goed te we< ><r><e>rken ik_kan <l>_ijn salon niet zien
goedemiddag je spreekt met thomas ik ben nu sinds een aantal weken klant bij jullie en jullie hebben zon app die ik echt geweldig vind om te gebruiken echt super handig maar als ik hem open dan staat er dat ik geen internetverbinding heb terwijl ik heb gewoon een internetverbinding dus dat zou ik gewoon moeten doen kunnen jullie mij daarbij helpen,goeden middag gisprkt met thomas en ja ik ben u sinds de aangelegen landen jullie en em k heb julli heb zo'n ep die ik echt vergeweldig vends wangens om te gebruiken echt superhandig maar een ja als ik hem open dan stamijdag geen internetverbinding heb te wilde ja ik heb gewoon internetverminiers het zout van moeten doen een kanueling met mu e ja kunen lie mij daarbij helpen,goedemiddag je spreekt met thomas ik ben nu sinds een aantal weken klant bij jullie en jullie hebben zon app die ik echt geweldig vind om te gebruiken echt super handig maar als ik hem open dan staat er dat ik geen internetverbinding heb terwijl ik heb gewoon een internetverbinding dus dat zou ik gewoon moeten doen kunnen jullie mij daarbij helpen,goedemiddag je spreekt met thomas ik ben nu sinds een aantal weken klant bij jullie en jullie hebben zon app die ik echt geweldig vind om te gebruiken echt super handig maar als ik hem open dan staat er dat ik geen internetverbinding heb terwijl ik heb gewoon een internetverbinding dus dat zou ik gewoon moeten doen kunnen jullie mij daarbij helpen,goede< ><n>midda(g)(i)_e s__eekt met thoma< ><a><j>< ><n><e>s_ik ben n(d) _inds(g)(e)e__a(g)nta_ we(d)(e)(n)__lant bij ju< ><b><e><h>< >_< ><m><e>l___ en<'> (e)u_lie hebben zo<r><e><v>n app d(e)e <s>< ><s><n><e><g><n><a><w>ik echt geweldig v_nd om te geb<j><a>< >< ><n><e><e>ruiken echt supe(m)(i)(j)___ig(g)m___ als ik hem open dan staat er ( )at< >(a)<d><l> ik geen inte____verbinding (m)eb_t(e)(r)___l (h)(e) heb (t)__o(v)(a)___n internetverb< >(a)<e>(u)i<i><g>< ><k>( )<e><n>< ><a><e>< ><u><m>< ><t><e><m><l>nding dus dat zou ik gewoon moeten doen kunnen jullie mij daarbij helpen
hallo ik kan geen toegang krijgen tot mijn bankaccount want de app slaat niet,vano ik kan geen toegang krijgen tot mijn bankerkount want ze abslaat niet,hallo ik kan geen toegang krijgen tot mijn bankaccount want de app slaat niet,hallo ik kan geen toegang krijgen tot mijn bankaccount want de app slaat niet,(v)a(n)_o ik kan geen toegang krijgen tot mijn bank(e)(r)(k)ount want (z)e a(b)__slaat niet
de app loopt vast waardoor ik mezelf nog niet meer kan zien,de aploop wast wat ook mij selden nieuer kan zien,de app loopt vast waardoor ik mezelf nog niet meer kan zien,de app loopt vast waardoor ik mezelf nog niet meer kan zien,de ap__loop_ (w)ast wa(t)( )_oo(k) <m>(j)k(s)m__e(d)(e) __g ni(u)___eer kan zien
mijn app laat niet,mijn ap laat niet,mijn app laat niet,mijn app laat niet,mijn ap_ laat niet
goedemiddag mijn app werkt niet goed er staat dat het onderhouden wordt en nu heb ik geen toegang,goede middag mijn atbif nieuwis en anstaat dat het onderhouden wort en u hebt geen toegang,goedemiddag mijn app werkt niet goed er staat dat het onderhouden wordt en nu heb ik geen toegang,goedemiddag mijn app werkt niet goed er staat dat het onderhouden wordt en nu heb ik geen toegang,goede< >middag mijn (t)(b)(i)(f)____t ni(w)(i)(s)( )g(n)e(a)(n)_r staat dat het onderhouden w_rdt e_ nu h(t)__ik geen toegang
ik heb sinds gisteren de app geïnstalleerd maar wanneer ik probeer is in te loggen lukt dat niet dan krijg ik een phone melding te zien,ik heb sijns gisteren de eb geinsalleerd en maag wanneer probeezen in te lokkeen luk dat dit tataail een foutmelding te vinden,ik heb sinds gisteren de app geïnstalleerd maar wanneer ik probeer is in te loggen lukt dat niet dan krijg ik een phone melding te zien,ik heb sinds gisteren de app geïnstalleerd maar wanneer ik probeer is in te loggen lukt dat niet dan krijg ik een phone melding te zien,ik heb si<j>_ds gisteren de(e)(b)_p g(i)ïn_talleerd< ><n><e>(g)maar wann___ ik pr(z)(e)(n)_r is in t(k)(k)l<e>ogge_ lukt(d)d_t (t)i(t)(a)(a)_a(l)_k___g ik(f)_e(u)(t)_hone meldin(v) <d><n>te zien
er is een probleem met de app hij werkt niet,er is een probleem met de ep hij werkt niet,er is een probleem met de app hij werkt niet,er is een probleem met de app hij werkt niet,er is een probleem met de (e)_p hij werkt niet
goedemorgen ik was bezig met mijn geldbedragen via jullie app te regelen alleen nu merk ik dat het bedragen niet overgemaakt worden hij wil daarbij niet laden dus ik krijg geen nieuw bedrag te zien wat kan ik hiermee doen,goeienmorgen e ik was bezig met en mufel bedragen vie jullie eb teregelen alleen en almerk ik dat de bedragen hierover gemaakt worden hij wil daarbij nietnieut e later zokom ik rij geen nieuw bedrag te zien wat kan ik hiermee doen,goedemorgen ik was bezig met mijn geldbedragen via jullie app te regelen alleen nu merk ik dat het bedragen niet overgemaakt worden hij wil daarbij niet laden dus ik krijg geen nieuw bedrag te zien wat kan ik hiermee doen,goedemorgen ik was bezig met mijn geldbedragen via jullie app te regelen alleen nu merk ik dat het bedragen niet overgemaakt worden hij wil daarbij niet laden dus ik krijg geen nieuw bedrag te zien wat kan ik hiermee doen,goe(i)e<n>morgen< ><e> ik was bezig m(e)(n)( )(m)(u)(f)n ( )eldbedragen(e)via jull(e)(b)_app_te regelen alle<e>(a)(l)n nu merk ik(d)d_t het bedr(h)ge(r)_niet< > overgemaakt worden hij wil daarbi<t>< ><e>(t)<e>(r)<n>(k)(o)(m) nie_ la_en dus ik krijg geen nieuw bedrag te zien wat kan ik hiermee doen
ik probeer de app van de bank te gebruiken maar deze laat niet,ik probeer de ap van de bank te gebruiken maar deze laat niet,ik probeer de app van de bank te gebruiken maar deze laat niet,ik probeer de app van de bank te gebruiken maar deze laat niet,ik probeer de ap_ van de bank te gebruiken maar deze laat niet
hallo ik maak gebruik van jullie app voor het internetbankieren maar op dit moment krijg ik constant een error en de app wil niet openen en zo kan ik ook niet mijn saldo bekijken en dan moet ik nog een overboek doen maar er staat dat ik er niet bij kan is er iets aan de hand is er een storing,halo ik maake het gebruik van jullie ep voor het internetboedieren e maar op dit moment krijg ge consteld een error en de aphilt niet opena en zo kan ik ook niet een saldo bekijken en moet ik de vanoverboeking doen maar ik strafhetekera dat ik er niet bijkan en is je r ze een hond is haar storie,hallo ik maak gebruik van jullie app voor het internetbankieren maar op dit moment krijg ik constant een error en de app wil niet openen en zo kan ik ook niet mijn saldo bekijken en dan moet ik nog een overboek doen maar er staat dat ik er niet bij kan is er iets aan de hand is er een storing,hallo ik maak gebruik van jullie app voor het internetbankieren maar op dit moment krijg ik constant een error en de app wil niet openen en zo kan ik ook niet mijn saldo bekijken en dan moet ik nog een overboek doen maar er staat dat ik er niet bij kan is er iets aan de hand is er een storing,hal_o ik maak<e>< ><t><e><h> gebruik van ju(e)l_e app voor het inte(o)(e)(d)tbanki< ><e>eren maar op dit moment(g)(e)rijg i(e)(l)(d)onstant een error e(h)__e <t>app wil n(a)_t openen en zo kan ik o(e)(e)_niet mijn saldo beki____ en dan (d)(e)_t(v)(a)k_nog een <g><n><i>overboek(i)(k)oen<r>(e)<f><a><r><e><k><e> maar er staat_dat (e)(n) (i)(s) (j)i( )(r) (z)(e)_ (e)a<n>n(o)is er (h)(a)(a)(r)__an de (e)_nd is er een storing
goedemiddag ik heb een beetje problemen met de app met jullie app hij werkt niet zoals verwacht ik loop namelijk een probleempje aan elke keer als ik probeer mijn saldo te laden dan loop die vast en ik weet niet meer hoe die update komt maar ja ik zou graag een beetje hulp willen,bijje goed middag ik heb een beetje problemen met de ep met jullie ap hij werkt niete zoals verwacht ik en dot nam ik een probleempje aan aan elkje als ik probere masaldotaria dan dan op die vast jongdoerdiebeid kom maar hij aakt zou graag een beetje hulp beaanwillen,goedemiddag ik heb een beetje problemen met de app met jullie app hij werkt niet zoals verwacht ik loop namelijk een probleempje aan elke keer als ik probeer mijn saldo te laden dan loop die vast en ik weet niet meer hoe die update komt maar ja ik zou graag een beetje hulp willen,goedemiddag ik heb een beetje problemen met de app met jullie app hij werkt niet zoals verwacht ik loop namelijk een probleempje aan elke keer als ik probeer mijn saldo te laden dan loop die vast en ik weet niet meer hoe die update komt maar ja ik zou graag een beetje hulp willen,< ><e><j><j>( )<b>goedemiddag ik heb een beetje problemen m(e)t_de app met jul_ie app hij werk<e>t niet zoals verwa( )(d)c(t)t ik( )_o_p namelijk een problee(a)(n)( )j(l) (j)a_ elke keer al<r>_ i(a)___obeer_m(a)(r)(i) < >(a)aldo t_ _aden dan lo(j)(o)_________ (g)(d)(o)__ _e_____et (b)(e)(i)r___e di_ updat<i>< >(a)(k)(t)komt maar ja ik zou graag e<n><a><a><e><b>en beetje hulp willen
goedemiddag ik was even online moest ik wat overmaken want geld ik zag dat de app niet werkte ik had nu niet bij mij geld en ik kan zelf ook niets overmaken het is heel belangrijk ik vroeg me af hoe ik dit moest doen en hoe ik dit kan oplossen alvast bedankt en bel me graag terug,een goei middag ik was even onlin moest ik zo wat overmaken wat geld en ik dag dat apnietwerk de ic comonie bij mij gelf en ik gan zelf nook eens overmaken met u heel belangrijk voor waar hoo ik dit moest doen en hoe ik dat kan oplossen org wast bedankt vaner wel maar gag terug,goedemiddag ik was even online moest ik wat overmaken want geld ik zag dat de app niet werkte ik had nu niet bij mij geld en ik kan zelf ook niets overmaken het is heel belangrijk ik vroeg me af hoe ik dit moest doen en hoe ik dit kan oplossen alvast bedankt en bel me graag terug,goedemiddag ik was even online moest ik wat overmaken want geld ik zag dat de app niet werkte ik had nu niet bij mij geld en ik kan zelf ook niets overmaken het is heel belangrijk ik vroeg me af hoe ik dit moest doen en hoe ik dit kan oplossen alvast bedankt en bel me graag terug,< ><n><e>(i)( )oedemiddag ik was even o_line moest< ><o><z> ik wat overm_ken wan< ><n><e>(d) geld i___ag__at d_ app(d) ni(c)t(c)(o)(m)(o)k___ik_had nu niet (f)ij mij (g)eld en i<n>k k(e)_ (n)elf ook niet(m) ov(u)_maken het is heel___l(o)n(r)_i(w)(a)_i(r) vr(o)eg me af hoe ik dit moest doen(a)en hoe ik dit k(g)( )(w)n oplossen a<n>(r)<v>(w)vast(r)<a> __dankt en bel me graag terug
hi ik probeer mijn bankrekening te bekijken maar de app doet het niet,hi ik kun je probeer mijn elangrekening te bekijken maar de ef doet het niet,hi ik probeer mijn bankrekening te bekijken maar de app doet het niet,hi ik probeer mijn bankrekening te bekijken maar de app doet het niet,hi ik < ><e><j>< ><n><u><k>probee(l)r (g)ijn bankrekening te bekijken (e)(f)_r de app doet het niet
goedendag ik bel u omdat ik een probleem heb met mijn bank app de app wil namelijk niet laden en ik wil graag mijn account saldo kunnen bereiken maar dan kan het dus niet laden de app zegt dat het onderhoud is en nu heb ik helemaal geen toegang op mijn account hoe kunnen we dit oplossen,goeden dag ik pel u om dat ik een probleem heb met jijn met mijn bank heb die aprueel namelijk niet laden en ik wil graag en wate ecantsandeou kunnen bereiken maar ook an des niet la heb a de ebzacht dat je onderhout jis en nu heb ik hem nal geen toegang tot mijn kant hoe kunnen we dit oplossen,goedendag ik bel u omdat ik een probleem heb met mijn bank app de app wil namelijk niet laden en ik wil graag mijn account saldo kunnen bereiken maar dan kan het dus niet laden de app zegt dat het onderhoud is en nu heb ik helemaal geen toegang op mijn account hoe kunnen we dit oplossen,goedendag ik bel u omdat ik een probleem heb met mijn bank app de app wil namelijk niet laden en ik wil graag mijn account saldo kunnen bereiken maar dan kan het dus niet laden de app zegt dat het onderhoud is en nu heb ik helemaal geen toegang op mijn account hoe kunnen we dit oplossen,goeden< >dag ik(p)bel u o< >mdat ik een probleem heb me< ><m>< ><t><e><n><j><i><j>t(h)(e)(b)jn<i> ba(r)(u)(e)(e)pp de app wil namelijk niet laden en i(e)__il<w>(e)<e>(a)_gr_ag(n)m<e><u>ijn account saldo kun(o)(o)(k) _ere(d)k____aar dan k(h)a(b) < ><a>h(e)(b)(z)(a)(c)(h)_niet l(j)d_n de app (t)e<j>gt dat het onderh(m)( )(n) _s en nu heb ik <t>(t)elemaa<k>____en toegang op mijn account hoe kunnen we dit oplossen
ik heb een error in de app van nulli bank en nu kom ik niet in mijn account,ik heb een aiwer in de ab van julli pank en nu kom met die ten bijna koud,ik heb een error in de app van nulli bank en nu kom ik niet in mijn account,ik heb een error in de app van nulli bank en nu kom ik niet in mijn account,ik heb een (a)(i)(w)(e)r in de a(b)_ van (j)ulli (p)ank en nu kom (e)(t)k(d)ni< >(e)_ i(b) mi_n( )(k)cc(d)_nt
hi ik gebruik jullie app maar ik heb vandaag problemen hij wil wel openen maar daarna kreeg ik een raar scherm met een foutmelding is dit iets waar jullie bij kunnen helpen alsjeblieft,hij ik k gebruik jullie uit maar ik ik heb vandaag problemen hij wil wel openen maar daarna krijg ik een rujmscherm met een foutmelding  is is dit iets waar jullie bij kunnen helpen alsblieft,hi ik gebruik jullie app maar ik heb vandaag problemen hij wil wel openen maar daarna kreeg ik een raar scherm met een foutmelding is dit iets waar jullie bij kunnen helpen alsjeblieft,hi ik gebruik jullie app maar ik heb vandaag problemen hij wil wel openen maar daarna kreeg ik een raar scherm met een foutmelding is dit iets waar jullie bij kunnen helpen alsjeblieft,hi<j> ik< ><k> gebruik jull(u)(i)(t)app maar < ><k><i>ik heb vandaag problemen hij wil wel openen maar daa(i)(j)a kreeg ik(u)(j)(m)_ raar scherm met een foutme< >ld< ><s><i>ing is dit iets waar jullie bij kunnen __lpen alsjeblieft
hallo ik wilde graag mijn bankgegevens opvragen in de app maar hij laat mijn nieuwe account faldo niet op er staat nu dat er onderhoud wordt gedaan aan de app en ik heb nu geen toegang meer tot mijn account,ha nou ik willen graag mijr bankgevens ofvragen in ip-mila mijn nieuwe galndvaal dan niet op et staat nu t e onderhoud wordt gedaan aan ij heb en ik heb nu gen geen toegang meer tot mijnegaal,hallo ik wilde graag mijn bankgegevens opvragen in de app maar hij laat mijn nieuwe account faldo niet op er staat nu dat er onderhoud wordt gedaan aan de app en ik heb nu geen toegang meer tot mijn account,hallo ik wilde graag mijn bankgegevens opvragen in de app maar hij laat mijn nieuwe account faldo niet op er staat nu dat er onderhoud wordt gedaan aan de app en ik heb nu geen toegang meer tot mijn account,ha( )(n)o<u> ik wi(l)d<n>e graag m(r)jn bank__gevens(f)opvragen i(i)___ (-)_p_____ __j __at mijn nieuw<g>(l)___c(d)(v)(a)t < >(n)faldo niet(t)op er staa__nu _at er onderhoud wordt gedaan(i)(j)a(h)(e)(b)e app en ik heb <g><e>< ><n>nu geen toegang meer(g) (a)(l)____jn account
goedemorgen ik ben gebruiker van de app van ubank alleen sinds de ochtend laat hij mijn informatie niet meer ik zie niet meer wat mijn celbouw is en wat mijn gegevens zijn en ik kan ook nergens vinden dat er een storing is ik zou graag willen weten hoe we dit op kunnen lossen of dat ik iets anders moet doen bedankt,goedemorgen ik ben gebruiker van de app van uw bank alleenszinds nochtend enlaat hij hem mijn informatie niet meer ik zienindien meer wat mi seldo is en wat mijn gegevens zijn en ik kan ook nergens vinden dat ven storing is ik zou grag willen weten hoe u hoe wij dit op kunnen lossen of dat ik iets anders moet doen bedankt,goedemorgen ik ben gebruiker van de app van ubank alleen sinds de ochtend laat hij mijn informatie niet meer ik zie niet meer wat mijn celbouw is en wat mijn gegevens zijn en ik kan ook nergens vinden dat er een storing is ik zou graag willen weten hoe we dit op kunnen lossen of dat ik iets anders moet doen bedankt,goedemorgen ik ben gebruiker van de app van ubank alleen sinds de ochtend laat hij mijn informatie niet meer ik zie niet meer wat mijn celbouw is en wat mijn gegevens zijn en ik kan ook nergens vinden dat er een storing is ik zou graag willen weten hoe we dit op kunnen lossen of dat ik iets anders moet doen bedankt,goedemorgen ik ben gebruiker van de app van u< ><w>bank alle(s)(z) sind(n)__e ochten<n><e>d laat <e><m>< ><h>hij mijn informatie niet mee(i)r<d> (n)k zie niet m__r(s)wa(d) __jn celbouw is en wat mijn gegevens zijn en ik kan ook nergens v(v)__e_ dat er een storing is _k zou graag willen < >(j)<e><o><h>< ><u>weten hoe we dit op kunnen lossen of dat ik iets anders moet doen bedankt
goedemiddag ik wil met jullie app mijn saldo checken maar er staat dat het onderhoud is klopt dat,goedmidag ik wil met de jullie ep mij naar saldood jekken maar be staat dat de de onderhaud is klopt dat,goedemiddag ik wil met jullie app mijn saldo checken maar er staat dat het onderhoud is klopt dat,goedemiddag ik wil met jullie app mijn saldo checken maar er staat dat het onderhoud is klopt dat,goed_mid_ag ik wil met < ><e><d>jull(e)e_app < ><r><a><a>mij<d>(j)_ (k)aldo chec<b>_en maar er (d)t(e)< >aat da(a) het onderhoud is klopt dat
ik zou graag een rekening willen betalen,ik zou graag een rekening willen betalen,ik zou graag een rekening willen betalen,ik zou graag een rekening willen betalen,ik zou graag een rekening willen betalen
ik wil graag een rekening betalen kunt u mij hiermee helpen,ik wil graag een rekening betalen kunt u mij hiermee helpen,ik wil graag een rekening betalen kunt u mij hiermee helpen,ik wil graag een rekening betalen kunt u mij hiermee helpen,ik wil graag een rekening betalen kunt u mij hiermee helpen
ik wil graag een betaalink doen,ik wil graag een betaling doen,ik wil graag een betaalink doen,ik wil graag een betaalink doen,ik wil graag een beta_lin(g) doen
